,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
Adrb2,2512.0,0.1630508777594342,0.10740427941250606,1.5181041076883637,0.12898815581794942,0.9999999759983075,0.8894501664376852
Gm8251,3609.6,0.06715884126503165,0.04424244617849124,1.5179730567809644,0.12902119102699702,0.9999999759983075,0.8893389533420998
Npas2,6758.5,0.10451487944627469,0.06887425409875401,1.5174738487391537,0.12914709120409226,0.9999999759983075,0.888915371048837
Glb1l2,5026.8,0.31987488968170413,0.210795285715945,1.5174669992987806,0.12914881929513378,0.9999999759983075,0.8889095598813113
U2surp,6331.2,0.22871317650881456,0.1507231191144401,1.5174392478910859,0.12915582106687465,0.9999999759983075,0.8888860153501167
Ccbe1,12899.5,0.12289824895243441,0.08099818510313732,1.5172963294911428,0.12919188452033425,0.9999999759983075,0.8887647666716969
Ddx19b,13673.0,0.11143613119697704,0.07345136391724204,1.5171417554959579,0.12923089790376377,0.9999999759983075,0.8886336381611717
Pgs1,5122.4,0.18082676072458137,0.11919209004707097,1.5171036991898523,0.12924050444999508,0.9999999759983075,0.8886013555180449
Mfap3l,6674.3,0.11354088153115154,0.07484317893014955,1.5170504935007931,0.1292539360819289,0.9999999759983075,0.8885562227590962
Naip6,9718.0,0.09831589123647907,0.06483308699154793,1.5164462437103479,0.1294065533899231,0.9999999759983075,0.8880437296254776
Tmem206,3536.4,0.13145267119305729,0.08669387243325377,1.5162856093925627,0.12944714885247977,0.9999999759983075,0.8879075107082245
Fbxw7,4084.7,0.10466220937861308,0.069031966357759,1.5161412154508234,0.1294836484912322,0.9999999759983075,0.8877850718792458
Mettl7a2,3099.5,0.09955496870828187,0.06566439525621535,1.5161179558546023,0.12948952875708952,0.9999999759983075,0.8877653496281499
Bicd2,7857.6,0.1332450407695409,0.08788799506854779,1.516077829123501,0.1294996736960937,0.9999999759983075,0.8877313258851577
Nus1,5536.8,0.1338177245084521,0.08830050160381593,1.5154809098238369,0.12965066119519397,0.9999999759983075,0.8872252640647648
Cnn3,1125.5,0.06384535140333453,0.04212932954409027,1.5154608937347898,0.12965572652384774,0.9999999759983075,0.8872082969217415
Plg,6177.8,0.1634580990346352,0.1079008265161753,1.514892001407713,0.12979975629402632,0.9999999759983075,0.886726122945965
Prkg1,9610.3,0.11117357613195983,0.07339310405177435,1.5147686907142348,0.12983099195097658,0.9999999759983075,0.8866216247414244
Gm8113,3304.4,0.13719515067479873,0.09057933499152385,1.514640736627588,0.12986340998796037,0.9999999759983075,0.8865131974935191
Tmem182,9780.7,0.13967757314796958,0.09222282088112424,1.514566262595836,0.12988228138260471,0.9999999759983075,0.8864500915953536
Fubp3,2000.9,0.768857221245172,0.5076807167472972,1.514450314700209,0.1299116663104467,0.9999999759983075,0.8863518467195153
Rcn1,5488.0,0.098355864158315,0.06499740714343509,1.5132275036951104,0.13022188025284875,0.9999999759983075,0.8853160382354629
Tbl1x,7171.9,0.08471244445700346,0.055982119878194986,1.5132053705954591,0.13022750047315979,0.9999999759983075,0.8852972950104897
Prg2,767.7,0.07481064562579894,0.04944066036213017,1.51314009719622,0.13024407633244928,0.9999999759983075,0.8852420198490288
Galnt15,14588.4,0.14371182076894193,0.0949903666794484,1.5129094222144388,0.1303026682290032,0.9999999759983075,0.8850466910773768
Scrn1,10521.8,0.10925046220381796,0.07221973302003654,1.512750845721178,0.13034295883040056,0.9999999759983075,0.8849124245930607
Adam10,6035.1,0.1159063026726936,0.07662159920567112,1.512710565614439,0.13035319460882402,0.9999999759983075,0.8848783209668205
Tmem136,6804.6,0.12831278841495367,0.08483059818576252,1.5125767253694662,0.13038720989905536,0.9999999759983075,0.8847650078578722
Mrpl39,1835.4,0.08428730055363165,0.05572522429970058,1.5125520195364122,0.1303934896010657,0.9999999759983075,0.884744091893333
Grb7,1833.8,1.090415102061241,0.7209280839047958,1.5125157784881618,0.13040270173624016,0.9999999759983075,0.8847134106210801
Tm9sf3,17033.7,0.15172955787540807,0.10032599331705641,1.5123653687225695,0.13044093988761984,0.9999999759983075,0.8845860805611411
Tbata,1312.5,0.6447580207623719,0.42638786743909174,1.5121396972076688,0.13049832788958152,0.9999999759983075,0.8843950530228671
